"Translation Info:
#---------------------------
4747,52,12,"(Isaan) warra soba keessa taphataniidha.",""
4748,52,13,"Guyyaa humnaan gara ibidda jahannam oofamiinsa oofaman",""
4749,52,14,"(Isaaniin jedhama): “Isheen kun ibidda kan ishee sobsiisaa turtaniidha.",""
4750,52,15,"Sila kun falfala moo isinumatu hin argitanu?!",""
4751,52,16,"Ishee seenaa (dhandhamaa); obsitanus yookiin obsuu baattanus isiniif waluma qixaWanti isin mindeeffamtan waanuma hojjachaa turtan qofa” (jedhaman).",""
4752,52,17,"Dhugumatti, isaan Rabbiin sodaatan jannataafi qananii keessa jiraatu.",""
4753,52,18,"Waan Gooftaan isaanii isaaniif kennetti gammadoo ta’anii (keessa jiraatu); Gooftaan isaaniis adabbii gubaa jalaa isaan baraarse.",""
4754,52,19,"“Waan hojjataa turtaniif jecha gaarii haala ta’een nyaadhaa; dhugaa” (isaaniin jedhama).",""
4755,52,20,"Sireewwan hiriira galfaman irra hirkatoo ta’anii (jiraatu)Dubartoota adaadii ija babal’aa isaan fuusifna.",""
4756,52,21,"Isaan amananii ilmaan isaaniis iimaanaan isaan hordofan, maatii isaanii isaanitti dhaqqabsiifna(Galata) dalagaa isaanii irraas homaayyuu hin hir’ifnuNamni hunduu waan hojjateen qabamaadha.",""
4757,52,22,"Mudraaleefi foon waan isaan fedhan irraa ta’e isaaniif daballa.",""
4758,52,23,"Ishee keessatti geeba (xoofoo farsoo jannataa) kan ishee keessa sobaafi diliin hin jirre walitti daddabarsu (waliif kennu).",""
4759,52,24,"Ijoollee dhiiraa isaanii warra faaya eegamaa fakkaatantu isaan irra naanna’u.",""
4760,52,25,"Gariin isaaniis garii irratti gara galaniiti wal gaggaafatu.",""
4761,52,26,"Ni jedhu: “Nuti kana dura maatii keenya keessatti (Rabbi irraa) sodaatoo turre.",""
4762,52,27,"Rabbiin nu qanansiisee, adabbii summaa’aa jalaas nu baraarse.",""
4763,52,28,"Nuti dhugumatti, kana dura Isa kadhataa turreInni dhugumatti, Isumatu tola oolaa, mararfataadha.”",""
4764,52,29,"Yaadachiisi! Ati ni’imaa Gooftaa keetiitiin, raagaafi maraataa miti.",""
4765,52,30,"“Weellisaadha; dhufuu du’aa isa irratti eegna” jedhan mitii?",""
4766,52,31,"“Eegaa! Anis isin waliin warra eegu irrayii” jedhiin.",""
4767,52,32,"Sila sammuu isaaniitu kanatti isaan ajaja moo? Lakkii, isaanumatu ummata daangaa darboodha.",""
4768,52,33,"Sila isatu isa (Qur’aana) uume jedhu moo?” lakkii, isaanumatu hin amanne.",""
4769,52,34,"Yoo kan dhugaa dubbatan ta’aniif haasaa fakkaataa isaatiin haa dhufanu.",""
4770,52,35,"Sila isaan odoo wanti isaan uume hin jirre uumaman moo isaanumatu uumoo dha?",""
4771,52,36,"Moo samiifi dachii uuman? Lakki, isaan hin dhugoomsanu.",""
4772,52,37,"Kuusaa Gooftaa keetiitu isaan bira jira moo isaantu injifattoota?",""
4773,52,38,"Moo kortoo (samii geessu) kan isa keessaan (maleykota) dhagayantu isaaniif jira! Dhaggeeffataan isaanii ragaa ifa ta’een haa dhufu.",""
4774,52,39,"Moo Isaaf ilmaan dubaraa jiraataniiti isiniif immoo ilmaan dhiiraa jiru?",""
4775,52,40,"Moo mindaa isaan gaafatteeti kaffaltiin isaa isaanitti ulfaate?",""
4776,52,41,"Moo isaan bira iccitiin fagoo jiraateeti isaan barreeffatan?",""
4777,52,42,"Lakkii! Tooftaa baasuu fedhaniWarri kafare isaanuma kan tooftaan itti baafamu.",""
4778,52,43,"Moo Rabbiin malee gabbaramaa biraa qabu? Rabbiin waan isaan itti qixxeessan irraa qulqullaa’e.",""
4779,52,44,"Yoo samii irraa cittuu wahii kan gadi kuftu arganis “duumessa kuufamaadha” jedhu",""
4780,52,45,"Hanga guyyaa isaanii kan isa keessa dhuman qunnamanitti isaan dhiisi.",""
4781,52,46,"Guyyaa tooftaan isaanii homaa isaan hin fayyadneefi isaanis hin tumsamne (hanga qunnamanitti).",""
4782,52,47,"Dhugumatti, isaan miidhaa raawwataniif sana dura adabbiitu jiraGaruu irra hedduun isaanii hin beekanu.",""
4783,52,48,"Murtii Gooftaa keetiitiif obsiDhugumatti, ati tika keenya jala jirtaYeroo kaatu Faaruu Gooftaa keetiitiin Isa qulqulleessi.",""
4784,52,49,"Halkanis Isa faarsi; yeroo urjiiwwan seenanis (faarsi)",""
4785,53,1,"Urjiin kakadhe; yeroo inni bu’u (seenu).",""
4786,53,2,"Hiriyaan keessan (Muhammad SAW) hin jallanne; hin dogoggorres.",""
4787,53,3,"Fedha lubbuu irraas hin haasa’u",""
4788,53,4,"Inni (wanti inni dubbatu) wahyii buufamu qofa.",""
4789,53,5,"(Jibriil) kan humni isaa cimaatu isa barsiise.",""
4790,53,6,"Abbaa humnaa ta’ee (bifa Rabbiin irratti isa uumeen) ol ta’e.",""
4791,53,7,"Inni moggaa (samii) isa ol aanaa irratti (ol ta’e)",""
4792,53,8,"Ergasii dhihaatee gadis bu’e.",""
4793,53,9,"Hanga fageenya qabannaa gooboo lamaanii yookiin sana irra dhihoo ta’e.",""
4794,53,10,"Gara gabricha Isaatti (Rabbiitti) waan wahyii godhe wahyii godhe.",""
4795,53,11,"Onneen (Nabiyyii-SAW) waan arge keessatti homaa hin sobne.",""
4796,53,12,"Sila ergasii waan inni (yeroo mi’iraajaa) arge irratti isa mormituu?",""
4797,53,13,"Dhugumatti yeroo biraas isa argeera.",""
4798,53,14,"Qurquraa daangaa (samii torbaffaa) biratti arge.",""
4799,53,15,"Ishee bira jannata qubsumaatu jira",""
4800,53,16,"Yeroo wanti haguugu mukattii qurquraa haguugu (arge).",""
4801,53,17,"Ijji gamaa gamana hin jallanne, irras hin dabarre.",""
4802,53,18,"Dhugumatti, inni mallattoolee Gooftaa isaa gurguddoo irraa argeera.",""
4803,53,19,"Mee (taabota) Laatiifi Uzzaa (jedhaman) naaf himaa?",""
4804,53,20,"Manaatiin kan sadaffaa duubatti haftuu taates (naaf himaa)?",""
4805,53,21,"Sila isiniif dhiirri ta'eeti dubartiin isaaf taatee?",""
4806,53,22,"Isheen kun oggas qooda jalloodha.",""
4807,53,23,"Isheen maqoota isiniifi abbootiin keessan odoo Rabbiin ragaa isheef hin buusin moggaaftani malee homaa mitiSe’aafi waan lubbuun isaanii feetu qofa hordofuDhugumaan qajeelfamni Rabbii isaanii irraa isaanitti dhufee jira.",""
4808,53,24,"Moo namaaf waanuma hawwetu jira?",""
4809,53,25,"Aakiraafi addunyaanis kan Rabbiiti.",""
4810,53,26,"Maleeykota irraa, warra erga Rabbiin nama fedhuuf hayyamee, jaallate malee manguddummaan isaanii homaa hin fayyadne baay’eetu samii keessa jiru.",""
4811,53,27,"Isaan Aakhiratti hin amanne moggaasa dubartootaa maleeykota moggaasu.",""
4812,53,28,"Isa irratti beekumsa homaatuu hin qabanShakkii malee homaa hin hordofanuShakkiin immoo dhugaa irraa homaa hin duroomsu.",""
4813,53,29,"Nama yaadannoo keenya irraa garagalee, jiruu addunyaa malee hin fedhin irraa garagali",""
4814,53,30,"Kun beekumsa irraa daangaa isaaniitiDhugumatti, Rabbiin kee Isumatu nama karaa Isaa irraa jallate akkaan beekaadhaInni nama qajeeles akkaan beekaadha.",""
4815,53,31,"Wanti samii keessa jiruufi wanti dachii keessa jirus kan RabbiitiIsaan hamtuu dalagan waan isaan dalaganiin isaaniif mindeessuufi isaan toltuu hojjatanis ishee caaltuu taate isaan mindeessuuf (uume).",""
4816,53,32,"Isaan sun warra dogoggora xixiqqoo malee dilii gugurdoofi sagaagalummaa irraa fagaataniidhaDhugumatti, Gooftaan kee araaramni Isaa bal’aadhaInni yeroo dachii irraa isin uumeefi yeroo isin garaa haadha keessanii keessatti ulfa taatanii jirtan akkaan isin beekaLubbuu keessan hin qulqulleessinaaInni nama (Isa) sodaatu akkaan beekaadha.",""
4817,53,33,"Mee isa gara gale naaf himi?",""
4818,53,34,"Kan xiqqoo kennee, ergasii dhoorgate.",""
4819,53,35,"Sila beekumsi fagoo isa bira jiraannaan inni (isa) beekee?",""
4820,53,36,"Moo wanta barreeffamoota Muusaa keessa jirutu itti hin himaminii?",""
4821,53,37,"Kan Ibraahiim isa (ajaja Rabbii) guutees",""
4822,53,38,"(Isheen sun) lubbuun dilii baadhattu ba’aa lubbuu biraa hin baadhattuudha.",""
4823,53,39,"Namaafis waan hojjate malee hintaaneedha.",""
4824,53,40,"Hojiin isaas of duratti mul’achuuf jiraadha",""
4825,53,41,"Achii booda mindaa guutuutu isaaf kennamaadha.",""
4826,53,42,"Xumurri (waan hundaas) gara Rabbiitti ta’uudha.",""
4827,53,43,"Inni Isumatu kofalchiise; boochises.",""
4828,53,44,"Inni Isumatu ajjeese; jiraachises.",""
4829,53,45,"Inni cimdii lama, kormaafi dhalaa, uume.",""
4830,53,46,"Bishaan hormaataa irraa (uume), yeroo buufamtu",""
4831,53,47,"Uumuun boodaas Rabbuma irra jira.",""
4832,53,48,"Inni Isa duroomseefi hiyyoomseedha.",""
4833,53,49,"Inni Isumatu Gooftaa Shi’iraati",""
4834,53,50,"Isumatu Aadii duraa balleesse.",""
4835,53,51,"(Ummata) Samuudis hin hambifne.",""
4836,53,52,"Ummata Nuuhis sana dura (balleesse)Isaan isaanumatu akkaan miidhaa raawwattootaafi daangaa darbitoota turan.",""
4837,53,53,"Ganda gombifamtuus gadi kuffise.",""
4838,53,54,"Wanti haguuge ishee haguuge.",""
4839,53,55,"Ni’imaa Rabbii keetii irraa kamiin shakkita?",""
4840,53,56,"Kun (Muhammad SAW) sodaachisaa sodaachistoota durii irraa ta’eedha.",""
4841,53,57,"Dhihaattuun (Qiyaamaa) dhihaatteetti.",""
4842,53,58,"Rabbiin ala isheef mul’iftuun hin jirtu.",""
4843,53,59,"Sila haasa’a kana (Qur’aana) irraa dinqisiifattanii?",""
4844,53,60,"Ni kolfituu! Hin boochanuu?",""
4845,53,61,"Haala sirbitanuun (irraa garagaltuu)?",""
4846,53,62,"Allaah’f sujuudaa; (Isuma qofa) gabbaraa",""
4847,54,1,"Qiyaamaan kaloofte; jiinis lamatti addaan dhoohe.",""
4848,54,2,"Yeroo mallattoo wahii argan gara galaniiti “(kun) sihrii cimaadha” jedhu.",""
4849,54,3,"(Qur’aana) sobsiisanii fedha lubbuu isaanii hordofuWanti hunduu galma ga’aadha.",""
4850,54,4,"Dhugumatti, oduu irraa wanti isa keessa dhorgaan jiru isaanitti dhufeera.",""
4851,54,5,"Beekumsi ga’aan (isaanitti dhufeera)Akeekkachiistonni homaa isaan hin fayyadu.",""
4852,54,6,"Isaan irraa garagaliGuyyaa waamaan gara waan rifachiisaa ta’eetti (isaan) waamu;",""
4853,54,7,"(Guyyaa san) ijji isaanii sodaan guutamteeti, awwaala (isaanii) irraa ba’anii akka awwaannisa faca’ee fakkaatu",""
4854,54,8,"Gara waamaatti ori’uKaafiroonni “Kun guyyaa (rakkisaa) cimaadha.” jedhu.",""
4855,54,9,"Isaaniin dura ummanni Nuuh sobsiifteeraGabricha keenya (Nuuh) sobsiisanii, “inni maraataa dha, dhorgameeras.” jedhan",""
4856,54,10,"“Ani injifatamaa dhaa naaf tumsi” (jedhee) Gooftaa isaa kadhate.",""
4857,54,11,"Bishaan dhangala’aa ta’een hulaalee samii itti banne.",""
4858,54,12,"Burqituuwwan dachii burqisiifnee bishaan (samiifi dachii) murtii dhugumaan murtaa’e irratti walitti dhufan.",""
4859,54,13,"Doonii abbaa xawulaafi mismaaraa irratti isa baadhanne (feene)",""
4860,54,14,"Galata isa itti kafaramee taatee tika keenyaan deemti.",""
4861,54,15,"Dhugumatti, Nuti mallattoo akka taatuuf ishee dhiifneNamni ittiin gorfamu jiraa laata?",""
4862,54,16,"(Yeroo san) adabbiin kiyyaafi sodaachisni kiyyas akkam ture laata?",""
4863,54,17,"Dhugumatti, Qur’aanas hubachuudhaaf laaffifneerraNamni ittiin gorfamu jiraa?",""
4864,54,18,"(Ummanni) Aad (Huudiin) sobsiifteadabbiin kiyyaafi akeekkachiifni kiyyaas akkam ta’e ree?",""
4865,54,19,"Qilleensa qorraa guyyaa hamaa itti fufaa ta’e keessa isaanitti ergine.",""
4866,54,20,"Nama ni butti(Yeroo san) jirma teemiraa kan dachii irraa buqqa’e fakkaatu.",""
4867,54,21,"(Yeroo san) adabbiin kiyyaafi akeekkachiisni kiyyas akkam ture laata?",""
4868,54,22,"Dhugumatti, Qur’aana hubachuuf laaffifnee jirraNamni gorfamu jiraa?",""
4869,54,23,"(Ummanni) Samuudis akeekkachiisa (kiyya) sobsiisaniiru.",""
4870,54,24,"Ni jedhan: “nama nurraa ta’e tokko hordofnaa? Nuti oggas jallinaafi maraatuu keessa jirra.",""
4871,54,25,"Sila yaadachiifni kun nu hunda gidduu isa (Nabi Saalih) qofa irratti buufamee? Lakkisaa! Inni akkaan sobaa, boonaadha.",""
4872,54,26,"Sobaan boonaan eenyuun akka ta’e boru beekuuf jiru.",""
4873,54,27,"Dhugumatti, Nuti gaala dhaltuu isaaniin mokkoruuf ergoodhaKanaaf (Yaa Saalih!) Isaan eegi; obsis.",""
4874,54,28,"Bishaan (gaalattii fi) isaan gidduutti qoodamus isaanitti himiDhugaatiin (garee) hundaayyuu dhufamaadha.",""
4875,54,29,"Hiriyaa isaaniitti lallabaniiti, (waraana isaa) fudhatee waraane",""
4876,54,30,"(Yeroo san) adabbiin kiyyaafi akeekkachiisni kiyyaa akkam ture laata?",""
4877,54,31,"Dhugumatti, Nuti iyya tokkittii isaan irratti ergineErgasii akka caccabaa mooraa horiin irra deemee tahan.",""
4878,54,32,"Dhugumatti, Qur’aana hubachuuf laaffifneerraEgaa namni gorfamu jiraa?",""
4879,54,33,"Ummanni “Luux” dinniina sobsiisaniiru.",""
4880,54,34,"Dhugumatti, Nuti isaan irratti bubbee cirrachaa erginee jirraMaatii Luux malee, (yeroo) bariisaa isaan baraarsine.",""
4881,54,35,"Qananii Nu biraa ta’eef (baraarsine)Akka kanatti nama galata Nuuf galche mindeessina.",""
4882,54,36,"Dhugumatti, inni (Luux) qabaa keenya isaan akeekkachiisee jiraIsaan garuu dinniinicha mormaniiru.",""
4883,54,37,"Dhugumatti, keessummaa isaa irraa (badii itti hojjachuuf) isa gaafatanKanaaf ija isaanii jaamsinee “adaba kiyyaafi dinniina (kiyyas) dhandhamaa” (jenneen).",""
4884,54,38,"Dhugumatti, adabbiin cimaan bariidhaan isaanitti ganamfate.",""
4885,54,39,"Adaba kiyyaafi dinniina (kiyyas) dhandhamaa” (isaaniin jenne).",""
4886,54,40,"Dhugumatti, Qur’aana hubachuuf laaffifneerraEgaa namni gorfamu jiraa?",""
4887,54,41,"Dhugumatti, maatii Fir’awnitti akeekkachiifni dhufeera.",""
4888,54,42,"Mallattoolee keenya hunda sobsiisaniiti, qabaa Isa injifataa, danda’aa ta’ee isaan qabne.",""
4889,54,43,"(Yaa Qureeyshotaa!) Sila kaafiroota keessantu isaan kanneen irra caala moo kitaabota keessa (adabbii irraa) baraaramuutu isiniif jira?",""
4890,54,44,"Hinumaayyuu “Nuti tuuta injifattoota” jedhu.",""
4891,54,45,"Tuutni isaanii cabsameeti dugda gara galuuf jiru.",""
4892,54,46,"Dhugumatti, Qiyaamaan beellama isaaniitiQiyaamaan irra ulfaattuufi akkaan hadhooftuudha.",""
4893,54,47,"Dhugumatti, yakkamtoonni jallinaafi ibidda qabsiifamaa keessatti ta’u.",""
4894,54,48,"Guyyaa fuula isaanii irratti ibidda keessa harkifaman, “tuqiinsa Saqar dhandhamaa” (jedhamaan).",""
4895,54,49,"Nuti waan hunda hamma murtaa’een isa uumne.",""
4896,54,50,"Ajajni keenya akkuma liphsuu ijaa yeroo tokko qofa.",""
4897,54,51,"Dhugumatti, Nuti fakkaattota keessan balleessinee jirraNamni gorfamu jiraa?",""
4898,54,52,"Wanti isaan hojjatan hunduu galmeewwan keessa jira.",""
4899,54,53,"Wanti xiqqaafi guddaan hundi barreeffamaadha.",""
4900,54,54,"Dhugumatti, warri Rabbiin sodaatan jannataafi laggeen keessa jiraatu.",""
4901,54,55,"Teessoo dhugaa (jannata) keessa Mootii danda’aa bira jiraatu.",""
4902,55,1,"Ar-Rahmaan.",""
4903,55,2,"Qur’aana barsiise.",""
4904,55,3,"Nama ni uume.",""
4905,55,4,"Haasa’a isa barsiise.",""
4906,55,5,"Aduufi jiini qixa murtaa’een deemu.",""
4907,55,6,"Biqilaafi mukkeenis (Allaahf) sujuudu.",""
4908,55,7,"Samii ol ishee fuudhe; madaalas ni kaaye.",""
4909,55,8,"Akka isin madaala keessatti daangaa hin dabrineef jecha.",""
4910,55,9,"Madaala sirriitti qajeelchaa; madaala hin hir’isinaa.",""
4911,55,10,"Dachiis uumama hundaaf ishee kaaye.",""
4912,55,11,"Ishee keessatti fuduraaleefi mukkeen temiraa kan qolola (qola) habaaboo qabantu jira.",""
4913,55,12,"Midhaan baalaafi urgaa qabantu jiru.",""
4914,55,13,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4915,55,14,"(Rabbiin) ilma namaa dhoqqee akka okkoteetti iyyu (suphee) irraa uume.",""
4916,55,15,"Sheyxaana immoo boba’aa ibiddaa kan aara hin qabne irraa uume.",""
4917,55,16,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4918,55,17,"(Rabbiin) Gooftaa baha lamaaniifi Gooftaa dhiha lamaaniiti.",""
4919,55,18,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4920,55,19,"Galaanota lamaan kan wal qunnaman taasisee gadi lakkise.",""
4921,55,20,"Gidduu isaanii dahootu jira; walitti hin makamanu.",""
4922,55,21,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4923,55,22,"Isaan lamaan irraayyuu faayaafi burjaanaatu baha.",""
4924,55,23,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4925,55,24,"Dooniiwwan tolfaman kan akka gaarreenii galaana keessa yaa’an kan Isaati.",""
4926,55,25,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4927,55,26,"Wanti ishee (dachii) gubbaa jiru hundi ni dhabama.",""
4928,55,27,"Fuula Gooftaa keetii, kan guddinaafi ulfinaatu hafa.",""
4929,55,28,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4930,55,29,"Wanti samiifi dachii keessa jiru hundi Isa kadhataGuyyaa hunda Inni hojiitti jira.",""
4931,55,30,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4932,55,31,"Yaa ulfaattota lamaanii (jinniifi namaa) fuulduratti isiniif raawwanna.",""
4933,55,32,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4934,55,33,"Yaa garee jinniifi namaa! Yoo moggaawwan samiifi dachii qaxxaamuruu dandeessan, qaxxaamuraaDandeettiin malee hin qaxxaamurtan.",""
4935,55,34,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4936,55,35,"Isin lamaan irratti boba’aa Ibidda irraa ta’eefi sibiila baqetu ergamaErgasii of irraa dhorguu hin dandeessanu.",""
4937,55,36,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4938,55,37,"Yeroo samiin dhodhootee diimtuu akka dhadhaa taate.",""
4939,55,38,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4940,55,39,"Ilmi namaas ta’ee jinniin guyyaa san dilii isaa irraa hin gaafatamu.",""
4941,55,40,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4942,55,41,"Yakkamtoonni mallattoo isaaniitiin beekamuSammuufi miila ni qabamu",""
4943,55,42,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4944,55,43,"“Kun jahannam ishee yakkamtoonni sobsiisaa turaniidha” (jedhama).",""
4945,55,44,"Gidduu isheetiifi gidduu bishaan akkaan danfaa ta’ee naanna’u.",""
4946,55,45,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4947,55,46,"Nama fuulduree Gooftaa isaa dhaabbachuu sodaateef jannata lamatu jira.",""
4948,55,47,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4949,55,48,"Kan dameewwan dhedheeroo qaban",""
4950,55,49,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4951,55,50,"Isaan lamaan keessa madda yaa’an lamatu jira.",""
4952,55,51,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4953,55,52,"Isaan lamaan keessa fuduraalee hunda irraa cimdiitu jira.",""
4954,55,53,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4955,55,54,"Afata hariira furdaan guutame irratti hirkatanii taa’uFuduraaleen jannata lamaanii dhihoodha.",""
4956,55,55,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4957,55,56,"Isaan keessa (dubartoota bareeda) ija isaanii dhirsa isaanii irratti gabaabsan, kan san dura namniifi jinniin hin tuqintu jira.",""
4958,55,57,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4959,55,58,"Faayaafi burjaana fakkaatu.",""
4960,55,59,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4961,55,60,"Sila mindaan toltuu toltuu malee ni jiraa?",""
4962,55,61,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4963,55,62,"Isaan lamaan malees jannata lamaatu jira.",""
4964,55,63,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4965,55,64,"Magariisa gurraacha’aadha",""
4966,55,65,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4967,55,66,"Isaan lamaan keessa burqituuwwan dhangala’an lamatu jiru.",""
4968,55,67,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4969,55,68,"Isaan lamaan keessa fuduraalee, timiraafi rummaanatu jira.",""
4970,55,69,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4971,55,70,"Isaan keessa gaggaarii, babbareedoo ta’antu jira.",""
4972,55,71,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4973,55,72,"Dubartoota manneen keessatti (dhirsa irratti) gabaabfamantu jiru.",""
4974,55,73,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4975,55,74,"Isaan dura namaafi jinniinis hin tuqne",""
4976,55,75,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4977,55,76,"Afata magariisaafi boraatiiwwan babbareedoo irra hirkatanii taa’u.",""
4978,55,77,"Tola Rabbii keesanii keessaa kamiin kijibsiiftu?",""
4979,55,78,"Maqaan Gooftaa keetii, abbaa guddinnaafi ulfinaa guddate",""
4980,56,1,"Yeroo argamtuun (Qiyaamaan) argamte,",""
4981,56,2,"Argama isheetiif kijibni hin jirtu.",""
4982,56,3,"Gadi qabduu, ol fuutuudha.",""
4983,56,4,"Yeroo dachiin raafama cimaa raafamte,",""
4984,56,5,"(Yeroo) gaarreenis facaafamiinsa facaafamte,",""
4985,56,6,"Dhukkee facaafamtuus taate,",""
4986,56,7,"(Yeroo) Isinis garee sadi taatan,",""
4987,56,8,"(Gareen tokko) warra mirgaati; warri mirgaa akkam (milkaa’oo dha)!",""
4988,56,9,"(Gareen lammaffaan) warra bitaati; warri bitaa akkam (hoonga’oo dha)!",""
4989,56,10,"(Gareen sadaffaa) Isaan gara toltuutti dursitoota dursoodha.",""
4990,56,11,"Isaan (Rabbitti) dhiheeffamoota.",""
4991,56,12,"Jannata qananii keessatti ta’u.",""
4992,56,13,"Warra duraa irraa baay’eedha.",""
4993,56,14,"Warra boodaa irraa immoo xiqqoodha.",""
4994,56,15,"Sireewwan dhawamte irratti ta’u.",""
4995,56,16,"Fuulaan walitti garagalanii ishee irratti hirkatu.",""
4996,56,17,"Ijoollee (ijoollummaan) yeroo hunda jiraatantu isaan irra naanna’a",""
4997,56,18,"Kubbaayyaa, quluufi geeba (xoofoo) farsoo irraa ta’een.",""
4998,56,19,"Isii irraa hin bowwaafatan; hin machaa’anis.",""
4999,56,20,"Fuduraalee irraa waan isaan filataniin (irra naanna’u).",""
5000,56,21,"Foon allaattii irraas waan isaan fedhaniin",""
5001,56,22,"Dubra adaadii ija babal’ootu (isiniif jira.)",""
5002,56,23,"Akka faaya eegamaa kan fafakkaatan.",""
5003,56,24,"Mindaa waan hojjataa turaniif jecha (kana isaaniif goone).",""
5004,56,25,"Isii (jannata) keessatti wacaafi wal arrabsuus hin dhaga’an.",""
5005,56,26,"“Nagayaa nagayaa waliin jechuu malee” (hin dhaga’an).",""
5006,56,27,"Warri mirgaa; warra mirgaa waa’een isaanii akkam tola!",""
5007,56,28,"(Isaan) mukkeen qurquraa kan qoree hin qabne keessa jiraatu.",""
5008,56,29,"Muuza firiidhaan guutame (keessa jiraatu).",""
5009,56,30,"Gaaddisa diriirfamaa (keessa).",""
5010,56,31,"Bishaan dhangala’u (keessa).",""
5011,56,32,"Fuduraalee baay’ee (keessa).",""
5012,56,33,"Kan maddi isaanii hin cinneefi kan irraa hin dhorgamne (keessa).",""
5013,56,34,"Firaasholee ol fuudhamtuu (keessa jiraatu.)",""
5014,56,35,"Dhugumatti, Nuti (dubartoota jannataa) uuminsa isaan uumne.",""
5015,56,36,"Dubroota isaan goone.",""
5016,56,37,"Jaallattoota (abbaa manaa), kan hiriyoota ta’an (isaan goone).",""
5017,56,38,"Warra mirgaatiif (qophaa’an).",""
5018,56,39,"Hedduun (isaanii) warra duraa irraayi.",""
5019,56,40,"Warra boodaa irraahis baay’eedha.",""
5020,56,41,"Warri bitaa; warri bitaa akkam (fokkatu)!",""
5021,56,42,"Ibidda laalessaafi bishaan danfaa keessa jiraatu.",""
5022,56,43,"Gaaddisa aara gurraacha irraa ta’e keessa.",""
5023,56,44,"(Gaaddiisa) qabbanaa’aa hin ta’iniifi gaariis hin ta’in.",""
5024,56,45,"Dhugumatti, isaan sana dura qanansiifamoo turan.",""
5025,56,46,"Dilii guddaa itti fufu turan.",""
5026,56,47,"“Sila yeroo duunee biyyeefi lafee taane, dhugumatti nuti kaafamoodhaa?” jedhaa turan",""
5027,56,48,"“Abbootiin keenya kan jalqabaas moo?” (jechuu turan).",""
5028,56,49,"“(Yaa Muhammad!) dhugumatti, isaan jalqabaas ta’ee isaan boodaas (ni kaafamu)” jedhiin",""
5029,56,50,"Beellama guyyaa beekamaa keessatti walitti qabamuuf jiru.",""
5030,56,51,"Ergasii isin yaa jallattoota sobsiiftotaa!",""
5031,56,52,"Muka Zaqquum irraa nyaatoodha.",""
5032,56,53,"Ishee irraas garaa keessan guuttatoodha.",""
5033,56,54,"Isa irrattis bishaan danfaa dhugoodha.",""
5034,56,55,"Dhugaatii akka gaala dheebottee dhugdu.",""
5035,56,56,"Kun simannaa isaanii kan guyyaa murtiiti.",""
5036,56,57,"Nuti isin uumnee; maaliif hin dhugoomsine?",""
5037,56,58,"Waan (maniyyii) dhangalaaftan san mee naaf himaa?",""
5038,56,59,"Sila isintu isa uumamoo? Nutu uumoo dha?",""
5039,56,60,"Nutu du’a gidduu keessanitti murteesseNuti dadhabsiifamoo miti.",""
5040,56,61,"Fakkaataa keessan jijjiiree, waan isin hin beekne keessatti isin uumuu irratti (dadhaboo miti).",""
5041,56,62,"Dhugumatti, akkaataa uumama jalqabaa beektanii jirtu; maaliif hin gorfamne?",""
5042,56,63,"Mee waa’ee waan facaaftanii naaf himaa!",""
5043,56,64,"Isintu isa biqilcha moo Nutu biqilchoo dha?",""
5044,56,65,"Odoo feenee caccabaa gooneeti kan dinqisiifattan taatan.",""
5045,56,66,"“Nuti dhugumatti hoonga’oodha”(jettu).",""
5046,56,67,"“Lakkisaa; nuti dhorgamoodha” (waliin jettu).",""
